UID,의견_2020,의견_2021,의견_2022,의견_2023,의견_2024
1005099,[하반기] - 진행중인 역량강화를 위한 자기개발에 있어 목표한 바는 중간에 포기하지 않고 이루었으면 함- 업무 성과에 있어 더 높은 목표를 설정하고 담당하는 분야의 전문가가 되기 위한 노력을 지속하였으면 함,[상반기] * 내가 맡은 분야에 최고 전문가가 되기 위해 적극적으로 법 조치 관련 새로운 지식을 습득하고 역량을 향상해 나가는 모습은 아쉽습니다.  본인스스로 효율적인 방안을 모색하고 기존의 방식을 고집하기보다는 효율적인 방법을 제시할 수 있도록 노력해 나가면 좋겠습니다.    [하반기] * 조금 더 적극적인 자세로 관련 지식 함양을 위해 노력하여 업무적으로 개선해 나갈 수 있도록 의견을 제시해 주면 좋겠음* 처음에 제가 부탁드렸던 지급/ 기타 여직원들과 소통을 위해 어려움 부분이 있겠지만 먼저 다가가면 좋겠음,[상반기] 전담하고 있는 현 업무관련 진행상태에 대한 이해/ 현황에 대한 데이터관리에 대한 구상/ 이행이 필요함이전에 해왔던 연장선에서 업무하는 것 뿐만아니라 업무가 어떻게 진행되어 결과에 이르는지이에 따라  전산 데이터를 어떻게 관리해야하는지 구상하여 실행하여 누락사항이 발생치 않도록 진행하고정확한 현황파악이 되도록 데이터 관리가 필요함 [하반기] 승계/ 폐지결정문 등 진행상황 확인 등 수작업으로 해야하는 데이터관리가 있습니다.진행상황을 잘 체크해주시고 보다 원할하게 업무 진행되도록 모색 당부드립니다.,[상반기] 폐지결정문 접수업무 인계/ 다량의 승계업무 진행에 따라 주요 업무의 변화가 발생함업무변화에 따른 빠른 적극이 필요하며/ 나만의 데이터관리가 아닌 원활한 정보공유 관점에서의 데이터 관리가 필요함승계완료 실물데이터의 정확한 기록/ 정기적인 데이터 공유에 힘써 주시길 당부드립니다. [하반기] 계속적인 업무환경에 대한 어렵지만 더 빠른대응 필요하며/ 지금과 같은 현업과 운영이 어려운 상황에서도 더 많은 업무의견제시를 요청드 립니다. 지속적으로 발전이 확인되며 본인도 스스로 발전에 대한 인식이 필요합니다. ,[하반기] 송무팀의 업무가 계속적으로 변경 됨에 있어서 업무배정에 신중을 기하여야 하지만 변경을 있을 수 있습니다. 고충을 혼자서 다 해결하기보단 후배/ 동료들과 나누며 극복 하시는 방법도 제안 드립니다. 
2000199,,,[하반기] 평가자에게 특별히 크게 보환할 점은 보이지 않으나 약간 소극적으로 업무를 처리할때가 있으며 일부 업무처리 과정에서는 본인의 주장이 강할때가 가끔 있음,,[상반기] 건강관리 요구 되어 짐채권조직에 대한 이해가 다소 부족하지만 적극적인 소통과 분석을 통해 개선되고 있음                                                                                                                                          
1001199,[하반기] 보정/이송이 많은 편 입니다. 맡은 바 업무에 조금 더 세심하고 정확하게 집중할 필요가 있어 보입니다.선임사원으로써 전체를 아우르는 모습이나 솔선수범하는 모습이 없어 아쉽습니다. 앞으로 좀 더 적극적이고 활동적인 모습을 기대하겠습니다.멘토링 시 멘티가 잘 적응할 수 있도록 적극적인 지원이 필요했으나 그렇지 못해 업무상 많이 부족했습니다. 선임사원으로써 후배직원들에게 좀 더 관심과 지원이 필요합니다.자기계발은 꾸준히 하고 있으나 신용관리사/매경테스트 등 결과가 없는 것이 아쉽습니다.,[상반기] 법무업무를 2년가량 하였으나 심도 깊은 이해는 부족한 것인지 지속적으로 오류보정 등이 발생하고 있습니다. 처음부터 다시 시작한다는 마음으로 업무에 임해주시고 소소한 오류가 발생하지 않도록 부탁드립니다.아울러 자기개발을 위한 신용관리사 등 자격증 취득을 위한 노력도 필요합니다. [하반기] 단순 업무실수가 잦은 편이고/ 업무에 대하여 전체적인 이해보다는 작업의 단순처리 기능에만 관심을 두어 전체적인 직무지식의 보완이 필요합니다.아울러 자기개발을 위한 신용관리사/ 매경테스트 등 자격증 취득을 위한 노력도 필요합니다. CUP미지원은 아쉽습니다.,[상반기] 여전히 업무오류가 발생하고 있습니다. 이해부족 보다는 꼼꼼하지 못하거나 접수전 확인의 업무를 하지 않아 발생하고 있어 보입니다.잦은 업무오류로 기타파트에서 지급파트로 이동한지 10개월 가량 되었으나 지속적인 업무실수로 송무팀 업무에는 적합해 보이지 않습니다.아울러 자격증취득/ 교육신청 등 자기개발에 대한 의욕이 없어 보입니다. [하반기] 업무처리방식에 대해 기존 방식에서 개선할 부분을 좀 더 고민해주셨으면 합니다. 기존 방식에서 발생되는 오류라든지/ 비효율성/ 적합성을 고민하셔서 업무발전이 될 수 있도록 실무업무를 이끌어 주는 노력을 좀 더 해주시기 바랍니다.,[상반기] 맡은 바 업무에만 그치지 않고 해당부서업무에 대한 전반적인 이해 및 처리기준에 대한 고민을 통하여 개인 및 부서의 업무발전을 이끌어 갈 수 있도록좀더 적극적인 자세로 리딩직원이 되어 주셨으면 합니다.  [하반기] 송무팀에 장기간 근무하고 있으나 현 업무의 개선에 대한 의견 등이 부족합니다.송무팀 장기근속자로써 업무개선이 될 수 있도록 많은 의견 부탁드립니다.,[하반기] 채무조정진행시 오류발생/ 누락/ 오기입 등 없도록 업무시 주의가 필요하고전결권 기준에 맞게 관리 노력 필요함조정팀 선임차장으로 팀 안정적 운영등 고려하여 업무필요
4001199,[하반기] 팀원들의 의견을 하나로 모으고 파트별로 나누어진 업무를 모두 소화할수 있는 팀원역량육성에미흡한 부분이 있으며/ 업무시 이기주의적 성향의 직원들을 교육하고 개선시키는 부분에좀 더 노력을 해야한다고 판단되며 역량점수에서 확실히 차별을 둘 수 있도록 개선을 요청함.,[하반기] 업무에 대한 이해도나 활용능력은 우수하지만/ 의욕이 앞서서 표현이 강하거나 서두르려고 하는 경항이 가끔 있습니다. 앞으로는 팀원/ 팀장들과의 유기적인 소통을 통해 충분히 개선될 수 있을것으로 생각됩니다.,[상반기] - 개선되어지고 있으나 보고함에 있어 다소 장황하게 설명하는 경향이 있어 지속적인 개선이 필요함- 본인이 직접 처리하고자 하는 의욕은 좋으나/ 때론 결과보고가 지연되는 경향이 있음 [하반기] 논리적 의견개진                                                                                                                                                                                                                                                                                    ,,[상반기] 주어진 업무와 관리하는 팀은 다르지만/  궁극적으로  동일한 목표를 보고  같은 방향으로 달려갈때 채권관리부 전체의 목표 달성과 발전을 이룰수 있습니다. 조금 더 협조적이고 조금 더 이타적인 업무를 진행한다면 더 좋은 결과를 거둘수 있습니다.  [하반기] 주어진 업무와 관리하는 팀은 다르지만/  궁극적으로  동일한 목표를 보고  같은 방향으로 달려갈때 채권관리부 전체의 목표 달성과 발전을 이룰수 있습니다. 조금 더 협조적이고 조금 더 이타적인 업무를 진행한다면 더 좋은 결과를 거둘수 있습니다. 
8102199,,[상반기] 총무부 업무에 대해 전문 능력을 갖춘 관리자이나 조직관리나 조직발전을 위한 개인적인 이익 보다는 조직의 이익이 우선되는 사고가 다소 부족한 면이 있는 편으로 이를 보완한다면 유능한 전문 관리인으로서 역할을 수행할 것으로 평가됨,[상반기] 피 평정인 건강에 대한 관리가 필요하며/ 은행 영업의 짧은 경력에 대한  소소한 업무의 처리 능력 향상이 필요 함.성공에 대한 확신과 힘든과제에 대하여도 탁월한 성과를 내야 하는 부담으로 인하여 어려움을 격고 있는 바/ 이에 대한 극복이 요구 됨 [하반기] 피 평정인 지금 현재는 다소 여신업무와 관련 다소 어려움을 격고 있으나/ 극복중인 바/ 큰 문제는 없음다만 피정인 건강이 다소 약함아직 여신관련 업무에 대하여 다소 약하고 미흡한점 있으나 이에 대한 극복은 본인의 노력으로 극복 확신 함,[상반기] 피 평정인 새로은 조직의 업무를 접하고 업무를 확실하게 파악하고 규정에 맞는 영업을 위해 많은 노력을 하고 있으나 아직은 다소 미흡한 점이 있음영업이 본인의 판단 만큼 성과를 내기 어려움이 있음을 알고 어려움을 격고 있으나 스스호 극복을 위해 많은 노력을 하고 있음. [하반기] 피 평정인의 보완점은 지금까지 조직에 대한 열정과 조직의 발전을 위해서 열과 성을 다하였으나/ 조직이 직원들에게 큰 희망을 못주는점에 아쉬움을 갖고전과 같은 열정이 줄어든것이 단점이,[상반기] 급한 성격으로 잦은 실수가 보여지니/ 차분하게 업무에 임하길 바랍니다.                                                                                                                      [하반기] ◇ 규정 습득 - 업무에 관련된 규정 혹은 매뉴얼 등을 공부하면서 더 많은 상황 등에 대한 대처방안을 습득한다면 더 발전할 수 있을 것으로 생각됩니다.
2202199,,,[하반기] 1. 사안 발생의 원인을 잘 파악하지만/ 전반적인 전략기획력은 다소 미진함.2. 부진인력에 대한 관대화 평가 경향이 있음.3. Collection & Risk 업무 분야에 대한 네트워크 구성이 필요함.,,
5001000,[하반기] 적극성을 가지고 열심히 하나 아직은 성과달성을 위한 방법에 대한 고민이 필요해 보이며 본인의 생각을 적극적으로 표시하고 문제해결능력 배양이 필요해 보임,[상반기] 적극성을 가지고 열심히 하나 아직은 성과달성을 위한 방법에 대한 고민이 필요해 보이며 본인의 생각을 적극적으로 표시하고 문제해결능력 배양이 필요해 보임 [하반기] 적극성을 가지고 열심히 하나 아직은 성과달성을 위한 방법에 대한 고민이 필요해 보이며 본인의 생각을 적극적으로 표시하고 문제해결능력 배양이 필요해 보임,[상반기] 영업활동 범위의 확장과 다양한 영업채널의 네트워크 형성 활동이 필요하며/ 영업점의 여신 증대에 기여할 수 있도록 집중적인 영업활동이 필요할 것으로 사료됨.  [하반기] 기존의 익숙한 업무방식만을 고집하지 않고/ 보다 더 새롭고 효율적인 방법을 모색하고 과감하게 실행하여야 할 것으로 사료되며/ 맡은 업무에 대한 지식과정보수집/ 영업채널 확장 등 역량강화가 필요함.,[상반기] 실적부분에 대해 점차적으로 올라오고는 있는데기대했던 부분보다 미흡한건 사실이다.앞으로는 좀더 결과을 낼수있는 방법을 모색하여가감하게 진행하였으면 합니다. [하반기] 지점운영에 대해 의견이나 건의사항이 있으면적극적으로 말씀해주세요본인이 기존에 경험했던 부분이나 업무에 도움이 되는부분이 있으면 주위동료과 공유했으면 합니다.,[상반기] 동료에게 의존하지 않고/ 나부터 프로페셔널이 되도록 최선의 노력이 필요함수시로 시장 동향을 파악하는 등 '혁신적인 아이디어'와 '문제해결'에 필요한 정보가 미흡함 [하반기] 1. 우리의 문화와 가치를 향상시키고 계속해서 지켜지도록 만들기 위한 막중한 책임감이 필요함2. 어떠한 어려움에도 굴하지 않고 '할 수 있다'는 태도 및 의지가 필요함
4101000,[하반기] 고객과의 교섭에서 너무 개인의 성향이 짓게 나타나고 있으며 불필요한 언급을 많이 하고 있음.본인의 목표는 초과달성하나 팀에 대한 목표의지는 약하게 나타나고 있음.항상 모르는것이 있으면 공지를 찾아보지 않고 팀원들한테 물어보고 의지하는 부분이 있음.,[상반기] -업무숙지가 제대로 이루어지지 않아 주위동료들에 도움을 받는다.  매달하는업무에 대해 좀더 신중하게 숙지한다면 분명 효율이 지금보다 높게 나타날거라 생각한다.-환경변화에 대한 적응이 늦다.  외부환경이나 내부환경 변화에 본인스스로 마쳐서 변화을 해야되는데 변화인지부분이나  변화시도부분이 늦어지고 있다. 이런부분을 빨리 고쳐나간다면 분명히 채권관리에 있어서 최고가 될것이라 생각한다. [하반기] 업적: 고객 컨택시 장시간 통화로 인한 민원주의        업무 누수를 줄이고 업무메뉴얼의 접검이 요구됨  역량: 팀원들과의 원할한 소통이 미흡함        개인판단에 의한 업무처리 주의        ,[상반기] 협동을 위한 업무보다는 개인성향의 업무에 치우치는 경우가 있고 급한 성향으로 업무처리에 대한 잔 실수가 자주 보이고 있습니다.업무집중도가 다소 떨어지는 편이고 어수선한 분위기를 보이고 있습니다.고객상담시 장황하고 너무 길게 통화하는 경우가 많습니다. 임펙트 있게 핵심적인 요점으로 불필요한 시간소비가 없도록 해야 합니다. [하반기] 급한 성향으로 업무처리에 대한 잔 실수가 자주 발생되고 있으며 피드백시 변명거리를 찾으려고만 하는 경향이 있습니다.고객상담시 장황하고 불필요한 설명을 너무 길게 통화하는 경우가 많습니다. 임펙트 있게 핵심적인 요점으로 불필요한 시간소비가 없도록 해야 합니다.,[상반기] 급한 성향으로 업무처리에 대한 잔 실수가 자주 보이고 있고 피드백시 변명을 하거나 얼버부리는 경우가 없도록 해야 합니다.고객상담시 장황하고 너무 길게 통화하는 경우가 종종 발생되는 경우가 있으니 임펙트 있게 핵심적인 요점으로 불필요한 시간소비가 없도록 해야 합니다. [하반기] 현재 업무에 대해 지속적으로 개선하려는 방안 모색과 실천 그리고 그 실천 결과를 관리자에게 보고함으로 팀의 전체적인 업무 개선에 본인의 자신감 있는 의견 제시가 필요 함 그리고 회사 또는 관리자가 본인하게 기대하는 역할을 분명히 인지하고 고객 상담에 대한 적극적인 개선을 당부 함||||||||||||||||||,[상반기] 기존 업무방식을 유지하기 보다는 새로운 방식을 모색하는 적극성과 업무에 대한 기준을 정확하게 숙지하여 후배 동료의 업무를 검수하고 오류건에 대한 능동적인 서포터와 피드백을 할 수 있는 역량 개선이 필요 함 [하반기] 수시로 변경되는 업무공지에 대해 정확하게 습득하여 후배 사원의 업무 오류를 확인하고 검수하여 피드백 할 수 있는 역량 개선을 당부 함 또한 동료 팀원이 하고 있는 업무에 대해서도 능동적으로 학습하여 지속적인 자기 개발이 필요 함 그리고 현재 본인이 하고 있는 업무 방법에 대해 수시로 점검하고 기존방식보다 새로은 방식을 찾아 적용하는 적극적인 모습을 보인다면 후배들로 부터 인정받는 선배사원이 될꺼라 생각 됨||||||||||||||||||
8002100,[하반기] 전반적으로 센터및 회사 공통업무에 대한 관심과 노력이 필요하며/ 위임직팀원의 특성을 잘 파악하여팀원들에 대한 디테일한 업무태도와 업무환경 외적인 부분에 대하여서도 조금더 신경써서실적향상을 꾸준히 이루어 낼 수 있기를 요망함,[상반기] 좀 더 적극적인 학습의지를 갖고 업무에 임해 주시기 바랍니다.지점 직원들과 많은 대화를 통한 업무습득도 중요한 부분이기에 다가가는 마인드를 가지고 직원들과의 소통 및 융화에 힘써주시기 바랍니다. [하반기] 업무 내외적으로 적극적인 의견개진 요구되며/ 신속한 업무 파악을 통해서 주어진 업무에 대해 자신감을 가지고 강한 목표달성의지로 실적 개선이 필요 함. ,[상반기] * 실적부진이 두드러짐* 안정적인 실적관리 필요로 하고/ 고객민원관리 및 정보보안에 항상 관심을 가지고 업무에 더욱 임해 주셔야 합니다* 월별 꾸준한 실적을 유지하고 있으나/ 기복없는 실적관리에 더욱 매진 해 주셨으면 합니다 [하반기] * 상반기 전체적인 실적이 하향세 보임* 안정적인 실적관리 필요로 하고/ 고객민원관리 및 정보보안에 항상 관심을 가지고 업무에 더욱 임해 주셔야 합니다* 월별 꾸준한 실적을 유지하고 있으나/ 기복없는 실적관리에 더욱 매진 해 주셨으면 합니다,[상반기] 좀더 역동적으로 업무를 진행 할 필요가 있고 다양한 경험을 통해 업무의 지식을 습득하는데 노력하였으면 함.업무의 특성 상 외부 업무를 불가피하게 해야 함. 좀더 적극적으로 활동하였으면 함. [하반기] 평균 회수달성율이 부진합니다. 실적 목표달성을 위한 자구책이 필요합니다.                                                                                                          ,[상반기] 업무 스킬 및 이해도에 비해 개인 목표 달성을 못하고 있기 때문에 하반기에는 개인 목표 달성하는 보습을 보여줄 필요 있음                                                                                                                                          
0202010,[하반기] 상시적이고 주기적인 의견 개진 및 현장 상황에 대한 피드백1,[상반기] 관리자로서의 역량과 조직관리 능력을 갖춘 관리자이나 총무업무에 대한 경험과 전문지식이 다소 부족한 면이 있으나 경험이 쌓인다면 총무부를 이끌어 나갈 전문 관리인으로서의 역할 수행이 가능 할것으로 평가됨 [하반기] 금년 4.5일 전입해 온 관리자로 다양한 경험과 전문지식을 바탕으로 업무수행을 하여야 하는 총무업무 특성을 고려할 때 현재는 완벽하게 업무를 수행하고 있지 않으나 충분한 경험이 쌓이면 완벽하게 업무를 수행할 수 있는 능력을 갖춘 관리자로 평가됨 ,[상반기] 총무부 전입 1년 된 관리자로 다양한 경험과 전문지식을 바탕으로 업무수행을 하여야 하는 총무업무 특성을 고려할 때 현재는 완벽하게 업무를 수행하고 있지 않으나 충분한 경험이 쌓이면 완벽하게 업무를 수행할 수 있는 능력을 갖춘 관리자로 평가됨  [하반기] - 업무수행 시 치밀한 업무수행 능력이 다소 미흡함.- 서울과 부산 주말부부부로 총무업무 특성상 주말공사 등 주요임무 진행시 관리자로서  역할 수행 미흡,[상반기] 다른 부서와의 의견이 맞지 않을 경우에 설득시키고 협의하는 논리가 약간 부족함.직관적인 성격으로 말투에 상처를 받는 경우가 가끔 있음.보고서 작성 요령이 약간 떨어짐.,
